COD_CLASE;COD_MARCA;DESC_MARC;COD_MODELO;DESC_MODE;COD_PARTE;ID_ELEM;DESC_ELEM;NRO_PIEZA;VALOR;FECHA
901;1;Peugeot;31;*306 99/02 4P/5P;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;8151X9;76008.66;2023-11-28
901;1;Peugeot;34;407 05/10 y 10/12;3;33906;PUERTA DEL ESPEJO ELECTRICO;8149VC;410246.56;2023-11-28
901;1;Peugeot;34;407 05/10 y 10/12;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;8151GW;49214.19;2023-11-28
901;1;Peugeot;34;407 05/10 y 10/12;3;33935;PUERTA DEL ESPEJO ELECT EMBELLEC;815275;30122.78;2023-11-28
901;1;Peugeot;34;407 05/10 y 10/12;4;34021;PUERTA DEL ESPEJO ELECTRICO;8149VG;410421.55;2023-11-28
901;1;Peugeot;34;407 05/10 y 10/12;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;8151GV;50474.12;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;33854;PUERTA DEL ESPEJO MANUAL CRISTAL;8151GZ;27067.45;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;33906;PUERTA DEL ESPEJO ELECTRICO;8153F3;211965.39;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;33912;PUERTA DEL ESPEJO MANUAL EMBELLEC;815260;13418.23;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;8151HA;41766.61;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;33935;PUERTA DEL ESPEJO ELECT EMBELLEC;815260;13418.23;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;51802;PUERTA DEL ESPEJO MANUAL EMBELLEC 1;815276;30122.78;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;51803;PUERTA DEL ESPEJO ELECTRICO 1;8149VT;309490.81;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;51811;PUERTA DEL ESPEJO ELECT EMBELLEC 1;815276;30122.78;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;3;51961;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;6445F9;45857.88;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;33969;PUERTA DEL ESPEJO MANUAL CRISTAL;8151GX;35158.99;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;34021;PUERTA DEL ESPEJO ELECTRICO;8153F4;94760.58;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;34027;PUERTA DEL ESPEJO MANUAL EMBELLEC;815259;13418.23;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;34030;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;34045;PUERTA DEL ESPEJO ELECT CRISTAL;8151GY;43229.53;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;34049;PUERTA DEL ESPEJO ELECT EMBELLEC;815259;13418.23;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;51902;PUERTA DEL ESPEJO MANUAL EMBELLEC 1;815275;30122.78;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;51903;PUERTA DEL ESPEJO ELECTRICO 1;8149VV;309560.81;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;51911;PUERTA DEL ESPEJO ELECT EMBELLEC 1;815275;30122.78;2023-11-28
901;1;Peugeot;35;*307 06/10 4P;4;51962;PUERTA DEL ESPEJO SENSOR / SONDA TEMP;6445F9;45857.88;2023-11-28
901;1;Peugeot;37;*207 COMPACT 5P 08/16;3;33853;PUERTA DEL ESPEJO MANUAL C/ CONTROL;8154JC;88628.94;2023-11-28
901;1;Peugeot;37;*207 COMPACT 5P 08/16;3;33854;PUERTA DEL ESPEJO MANUAL CRISTAL;8151QR;55303.84;2023-11-28
901;1;Peugeot;37;*207 COMPACT 5P 08/16;3;33855;PUERTA DEL ESPEJO MANUAL CARCAZA;815241;21982.24;2023-11-28
901;1;Peugeot;37;*207 COMPACT 5P 08/16;3;33906;PUERTA DEL ESPEJO ELECTRICO;1607130780;154043.70;2023-11-28
901;1;Peugeot;37;*207 COMPACT 5P 08/16;3;33915;PUERTA DEL ESPEJO ELECT MOTOR;660238;65624.75;2023-11-28
901;1;Peugeot;37;*207 COMPACT 5P 08/16;3;33930;PUERTA DEL ESPEJO ELECT CARCAZA;1607125880;16816.54;2023-11-28
901;1;Peugeot;37;*207 COMPACT 5P 08/16;3;33931;PUERTA DEL ESPEJO ELECT CRISTAL;8151QR;55303.84;2023-11-28
