COD_CLASE;COD_MARCA;COD_MODELO;COD_PARTE;NRO_PRESU;ID_ELEM;VALOR_MO;VALOR_REPUESTO;CANT_HS_PINT;VALOR_MAT_PINT
901;1;12;2;8314672;12;10.50;2300900.38;7.51;94550.55
901;1;12;2;8325517;1;0.81;0.00;1.06;14140.73
901;1;12;2;8325970;4;7.51;616974.62;3.58;49750.50
901;1;12;2;8326119;5;2.54;1720030.44;3.22;43994.35
901;1;12;2;8336633;11;11.85;1458181.24;6.80;90304.18
901;1;12;2;8342725;1;0.00;0.00;0.24;6475.34
901;1;12;2;8343285;9;9.64;2338565.72;7.25;94192.47
901;1;12;2;8347015;12;16.03;3398223.42;9.95;112170.61
901;1;12;2;8351788;7;11.48;1215458.87;7.86;78951.97
901;1;12;3;7985455;2;1.80;0.00;1.77;15490.66
901;1;12;3;8008974;2;0.05;387023.96;0.06;939.35
901;1;12;3;8011302;4;6.76;0.00;6.02;40729.87
901;1;12;3;8011648;2;3.40;0.00;3.67;32114.75
901;1;12;3;8011834;2;0.00;0.00;0.00;0.00
901;1;12;3;8019776;3;4.75;355451.76;3.77;19738.41
901;1;12;3;8044979;1;0.00;0.00;0.00;0.00
901;1;12;3;8048729;1;0.00;0.00;0.39;10845.46
901;1;12;3;8077429;3;7.30;642015.64;7.75;54859.74
901;1;12;3;8078796;5;5.85;427412.21;6.79;37472.06
901;1;12;3;8094195;6;6.19;805982.62;6.01;57004.71
901;1;12;3;8099206;1;0.00;0.00;0.42;11639.06
901;1;12;3;8120624;2;2.30;0.00;3.02;17733.65
901;1;12;3;8125567;4;7.39;758046.81;7.99;63370.39
901;1;12;3;8127877;2;0.05;0.00;0.06;939.35
901;1;12;3;8133769;1;0.00;0.00;0.42;11639.06
901;1;12;3;8146082;1;0.00;0.00;0.00;0.00
901;1;12;3;8155902;4;14.18;1617603.96;10.76;87292.11
901;1;12;3;8158593;2;4.80;0.00;5.83;34258.16
901;1;12;3;8163674;4;6.23;845180.59;6.15;55578.46
901;1;12;3;8166573;4;4.15;455060.26;4.77;34087.95
901;1;12;3;8175905;5;7.34;844071.74;7.93;62431.04
901;1;12;3;8191091;1;0.00;0.00;0.39;10845.46
901;1;12;3;8196459;1;0.00;0.00;0.00;0.00
901;1;12;3;8199253;1;0.00;0.00;0.42;11639.06
901;1;12;3;8200603;3;0.00;0.00;0.00;0.00
901;1;12;3;8206134;5;9.07;896241.94;8.83;64988.38
901;1;12;3;8207351;12;10.66;2710355.44;8.02;72613.96
901;1;12;3;8213379;1;0.58;0.00;0.68;5984.70
901;1;12;3;8217608;1;0.00;0.00;0.39;10845.46
901;1;12;3;8220468;5;9.74;2363876.70;8.16;65014.93
901;1;12;3;8220477;2;2.88;0.00;3.75;24081.02
901;1;12;3;8230763;5;9.12;1004934.83;8.86;66049.13
901;1;12;3;8254676;1;0.00;0.00;0.42;11639.06
901;1;12;3;8264252;4;7.84;1086550.75;7.65;63504.03
901;1;12;3;8270157;1;0.00;0.00;0.00;0.00
901;1;12;3;8297997;5;5.28;683176.97;5.28;37761.59
901;1;12;3;8325517;3;3.85;1235260.16;4.45;61392.18
901;1;12;3;8329122;1;0.00;0.00;0.39;10845.46
901;1;12;3;8335853;1;0.00;0.00;0.39;10845.46
901;1;12;3;8342725;31;15.01;6633591.26;10.21;127154.52
901;1;12;4;7979337;6;10.07;551576.92;10.30;71887.61
901;1;12;4;7981317;2;2.88;0.00;3.75;24081.02
901;1;12;4;7982438;4;7.39;576493.19;8.01;63869.62
901;1;12;4;7989699;2;2.88;0.00;3.75;24081.02
901;1;12;4;7992751;1;0.00;0.00;0.39;10845.46
901;1;12;4;7993085;2;0.05;0.00;0.45;11784.81
901;1;12;4;7998579;3;3.46;0.00;4.07;26835.95
901;1;12;4;8005426;5;4.58;546897.71;4.41;48213.29
901;1;12;4;8010678;1;0.00;0.00;0.00;0.00
901;1;12;4;8011648;2;0.00;0.00;0.00;0.00
901;1;12;4;8013176;1;2.50;0.00;2.81;16524.51
901;1;12;4;8013979;5;10.26;498552.21;9.27;65978.44
901;1;12;4;8015453;6;8.89;1120125.98;8.97;82030.26
901;1;12;4;8020347;3;0.33;319632.65;0.08;1409.06
901;1;12;4;8030494;4;5.04;498552.21;5.33;56336.45
901;1;12;4;8039203;2;3.40;0.00;3.67;32114.75
901;1;12;4;8039624;2;0.00;0.00;0.42;11639.06
901;1;12;4;8044979;1;0.00;0.00;0.42;11639.06
901;1;12;4;8045016;2;0.21;336038.56;0.15;1381.43
901;1;12;4;8045697;4;7.45;498552.21;4.82;49533.81
901;1;12;4;8048566;2;1.04;0.00;1.53;20857.70
901;1;12;4;8060631;1;1.80;0.00;1.77;15490.66
901;1;12;4;8064450;7;11.45;1596155.75;8.51;76048.42
901;1;12;4;8068791;11;17.01;2695341.65;10.94;97531.96
901;1;12;4;8069976;24;25.87;4853872.93;14.91;129605.36
901;1;12;4;8077429;2;5.51;0.00;4.30;28774.67
901;1;12;4;8087132;2;0.00;0.00;0.00;0.00
901;1;12;4;8097321;5;7.50;706813.51;5.98;39713.37
901;1;12;4;8097976;3;0.19;361899.48;0.08;1409.06
901;1;12;4;8099749;1;0.00;0.00;0.39;10845.46
901;1;12;4;8106515;1;1.60;0.00;1.90;16624.09
901;1;12;4;8108653;3;4.15;0.00;4.77;34087.95
901;1;12;4;8110582;1;0.00;0.00;0.39;10845.46
901;1;12;4;8119998;1;0.14;348977.25;0.00;0.00
901;1;12;4;8121667;2;0.00;0.00;0.00;0.00
901;1;12;4;8127327;4;4.58;664619.53;4.49;48968.95
901;1;12;4;8129570;6;6.44;832996.42;6.79;52418.80
901;1;12;4;8129811;2;2.30;0.00;3.41;28579.11
901;1;12;4;8131253;1;1.60;0.00;1.90;16624.09
901;1;12;4;8135061;4;4.85;471434.01;5.91;35667.22
901;1;12;4;8140179;4;4.85;471434.01;5.91;35667.22
901;1;12;4;8143839;5;10.18;798367.40;7.38;63452.42
901;1;12;4;8146814;3;6.30;664619.53;6.79;52418.80
901;1;12;4;8157602;4;6.85;396902.62;7.77;40382.71
901;1;12;4;8158237;5;6.18;777542.46;6.40;57656.61
901;1;12;4;8191091;1;1.80;0.00;1.77;15490.66
901;1;12;4;8191474;2;4.00;733865.74;4.19;46324.21
